,transform_function,metric,min_cluster_size,n_outliers,n_clusters,mean_cluster_size,avg_silhouette,davies_bouldin_score,scores_v1,scores_v3,CCPM
0,standard_scaler,euclidean,50,30704,191,362.81151832460733,0.35075710142210714,1.282518312866453,0.3932819420805551,0.5003969411985172,1.1304730633446942
1,standard_scaler,manhattan,50,31130,199,346.0854271356784,0.4408761156992313,1.2660201304859537,0.42007749833325325,0.5337673293972935,1.230752971461514
2,standard_scaler,euclidean,100,35737,115,558.8173913043478,0.3877831583289721,1.3284130885457577,0.4188345628383249,0.49903874581589447,1.1405610469409562
3,standard_scaler,manhattan,100,39103,124,491.11290322580646,0.4688570770112508,1.2941412781747732,0.42916946887566226,0.5129975278704328,1.2415702396810766
4,standard_scaler,euclidean,200,38760,53,1155.4905660377358,0.43950504215375935,1.4458591633609843,0.5141583186169496,0.5310605586157089,1.1311353373724453
5,standard_scaler,manhattan,200,45384,54,1011.425925925926,0.51769562414394,1.3890209563645013,0.5151138813266793,0.5283086669830324,1.2376271668740872
6,standard_scaler,euclidean,300,36153,30,2128.266666666667,0.3487748183063246,1.5288510744257002,0.6179717000789462,0.5454134016211202,1.002860763450224
7,standard_scaler,manhattan,300,42390,28,2057.535714285714,0.4978400315000584,1.5219602992816532,0.6675052330096991,0.5800452749359715,1.1548873936894584
8,standard_scaler,euclidean,400,37221,23,2729.5652173913045,0.3817081249561028,1.7325520999131916,0.6313724105447556,0.5550416494753693,0.9588913450451866
9,standard_scaler,manhattan,400,44775,20,2761.3,0.5161775190058746,1.6823698230775452,0.612554255230623,0.5595213232530395,1.1105771487916183
10,standard_scaler,euclidean,600,40358,16,3727.6875,0.40491783517948005,1.8323554345060513,0.5389088287745792,0.5217176134900747,0.9506634810124188
11,standard_scaler,manhattan,600,50678,16,3082.6875,0.5343121861669041,1.760888754426246,0.5476406231002806,0.5218758698798844,1.1022072320557241
12,standard_scaler,euclidean,1000,48027,13,3998.0,0.45419556170207187,1.7922290059376305,0.49131012145134845,0.4915456260068155,1.0121599717674226
13,standard_scaler,manhattan,1000,57635,13,3258.923076923077,0.5357087859597303,1.7012998564763944,0.4864548498006986,0.4761113961050749,1.123494646396541
14,minmax_scaler,euclidean,50,35011,238,273.06722689075633,0.2272346844359345,1.2844331089835987,0.3287906276599718,0.42676499405476764,1.005788268118718
15,minmax_scaler,manhattan,50,38062,243,254.89300411522635,0.3886219313903304,1.2567159146789095,0.37166720744197707,0.47584026411446756,1.1843467155835024
16,minmax_scaler,euclidean,100,38662,128,479.2109375,0.2679053594245591,1.30975794735322,0.36147140852863247,0.43416657685049287,1.0314052122185935
17,minmax_scaler,manhattan,100,41469,139,421.0935251798561,0.3638158524945092,1.2407968082474594,0.3787267863550903,0.4568884503982924,1.169749582621065
18,minmax_scaler,euclidean,200,43124,72,789.9583333333334,0.3099852503085647,1.3894543348604007,0.41328689125885076,0.44448736741297523,1.0296922424066322
19,minmax_scaler,manhattan,200,46730,74,719.8783783783783,0.4270939956591994,1.3941605374780934,0.437050006654607,0.4723250698754502,1.1443715064750677
20,minmax_scaler,euclidean,300,45112,44,1247.4772727272727,0.3503214365831818,1.4901527874540175,0.496705012882387,0.47366173930162603,1.0213935631592346
21,minmax_scaler,manhattan,300,48657,41,1252.2926829268292,0.44974389136697673,1.4696479702130618,0.5324416994939116,0.5000296235188039,1.1301789481071465
22,minmax_scaler,euclidean,400,45314,31,1764.0967741935483,0.3535219961295488,1.4977871628142991,0.5796987349678633,0.49871203187109825,1.0211735989921535
23,minmax_scaler,manhattan,400,53497,28,1660.857142857143,0.5063352703026537,1.5858587098939347,0.6333140161735286,0.5279089258014561,1.1369084693910403
24,minmax_scaler,euclidean,600,50430,20,2478.55,0.3511819112753245,1.8324251930520197,0.5387059078185548,0.465248362907992,0.8969067811317779
25,minmax_scaler,manhattan,600,59852,17,2361.705882352941,0.5340805564781133,1.7172193355381222,0.5298042318214718,0.47975983054593496,1.1164173490501765
26,minmax_scaler,euclidean,1000,61669,14,2738.0,0.5593292096817369,2.0091779610939455,0.4937023049938689,0.46923592113801443,1.0570452006811235
27,minmax_scaler,manhattan,1000,64770,11,3202.818181818182,0.6501503260869458,1.7411676705466317,0.47517790869969984,0.478521061210086,1.2244775531058432
28,robust_scaler,euclidean,50,34920,215,302.70232558139537,0.4035256551889002,1.483111258031653,0.39175312657070666,0.4989050313139142,1.0777839042478239
29,robust_scaler,manhattan,50,31866,208,327.57211538461536,0.4517103419757191,1.523006066998955,0.4193511761812844,0.5338557300743548,1.1083065444914941
30,robust_scaler,euclidean,100,40275,104,574.2884615384615,0.49496255678071976,1.4908411866444438,0.44740552808014833,0.5216120364421506,1.165724814329279
31,robust_scaler,manhattan,100,38875,119,513.6638655462185,0.48363747839845467,1.4873893324790874,0.43779292027252104,0.5209306745857429,1.1559564053691507
32,robust_scaler,euclidean,200,42517,47,1223.063829787234,0.4994080775524403,1.5153083109210412,0.5424779395238752,0.5424995057858881,1.1593397843825677
33,robust_scaler,manhattan,200,48389,67,770.3283582089553,0.5888194197640145,1.5357995409499996,0.49766465336938775,0.5323911574806652,1.2399460631418542
34,robust_scaler,euclidean,300,41176,35,1680.7142857142858,0.4713800444640793,1.622991159806752,0.6008271016266822,0.5569597908507582,1.0875263456670194
35,robust_scaler,manhattan,300,45447,33,1653.1515151515152,0.5390094232042159,1.6266496207403016,0.6241409185791857,0.5671589203968419,1.1537699636732148
36,robust_scaler,euclidean,400,45563,29,1877.1724137931035,0.4905658269530641,1.6477924403186086,0.6438307024484775,0.5580687813222376,1.097438376876066
37,robust_scaler,manhattan,400,51140,26,1879.2692307692307,0.5832006810143913,1.6692440698720605,0.6906019316544172,0.5775828293801868,1.1822742485344755
38,robust_scaler,euclidean,600,48894,15,3407.133333333333,0.40082453243116123,1.680859225209876,0.49627083290178153,0.4735545653403255,0.9957583525880145
39,robust_scaler,manhattan,600,54519,17,2675.4117647058824,0.5686934913084889,1.7064195141819467,0.559118365666708,0.5202697378307517,1.1547158566700322
40,robust_scaler,euclidean,1000,56212,12,3649.0833333333335,0.4539542806054718,1.6406447841613396,0.4511261210959073,0.44667836896792923,1.0634707400206507
41,robust_scaler,manhattan,1000,57575,10,4242.6,0.5191113074439584,1.7340603551875569,0.44266081650058947,0.45823394016033464,1.0957925036943852
42,yeo-johnson,euclidean,50,18059,207,395.8550724637681,0.3358962096913878,1.2093758065482914,0.42697062676920944,0.5566247732909556,1.1627690432518043
43,yeo-johnson,manhattan,50,19972,217,368.7972350230415,0.42751817240169215,1.1853878632078556,0.4492052792614951,0.5831298343709674,1.2711239077378331
44,yeo-johnson,euclidean,100,22898,119,647.9243697478992,0.35830017271834036,1.2398014175118375,0.4492699524844752,0.5506799534716855,1.1648809572498697
45,yeo-johnson,manhattan,100,24549,125,603.616,0.4383796433321709,1.1953390422799741,0.466964032735874,0.573408084770594,1.2749623739460836
46,yeo-johnson,euclidean,200,23097,49,1569.469387755102,0.3725312846952317,1.3684386211529804,0.5573919464233646,0.5865898932063403,1.1032911335786608
47,yeo-johnson,manhattan,200,28135,53,1355.9622641509434,0.46681293662248435,1.339818038586307,0.5586772626100662,0.5951081851585113,1.2131829444894766
48,yeo-johnson,euclidean,300,24603,26,2899.923076923077,0.3993821582528378,1.482217427300865,0.717784872842745,0.6367390934388337,1.0740470094285601
49,yeo-johnson,manhattan,300,27499,23,3152.2608695652175,0.4598317326167608,1.514991269505539,0.6898199557015487,0.6349006064444934,1.119901543003443
50,yeo-johnson,euclidean,400,27073,20,3646.4,0.40601835871599523,1.5548593854131634,0.6348406117398973,0.6039667740459387,1.0491633333557928
51,yeo-johnson,manhattan,400,29312,20,3534.45,0.46232144331129316,1.5476227833895475,0.6461450479042502,0.6152931198329383,1.1084737297294578
52,yeo-johnson,euclidean,600,27056,14,5210.357142857143,0.3923970601169535,1.589148054436986,0.5534337680504787,0.5755263306794074,1.0216650488408152
53,yeo-johnson,manhattan,600,33268,15,4448.866666666667,0.4651722415935517,1.5985533043407387,0.5698062150944536,0.5774228677130946,1.0907378685167097
54,yeo-johnson,euclidean,1000,29687,12,5859.5,0.3685385218595322,1.6770384410327313,0.511069984022769,0.5451357392328157,0.9648277753033551
55,yeo-johnson,manhattan,1000,35549,11,5859.272727272727,0.47661610368894947,1.637981863450526,0.514735527210108,0.5552109112154978,1.0871234739558147
