Method,nodes,Perc wl,repetitions,F score / Acc,Time,F score / Acc (no profile),Seeds,total nodes,Increase percentage
IS,100,5,10,"[0.6249272801639582, 0.6151600141292101, 0.6100982608521771, 0.6256434513585917, 0.6147738732215279, 0.6133520753210212, 0.609777374301478, 0.6262469918073466, 0.617824136572949, 0.6143354643368959]","[9.289647579193115, 9.235388994216919, 9.29357361793518, 9.233032703399658, 9.290045976638794, 9.30849027633667, 9.26408338546753, 9.280548095703125, 9.259679794311523, 9.267932653427124]","[0.2203132530120477, 0.22269079464988187, 0.22145320197044277, 0.22370903277378035, 0.21791020408163222, 0.22041911148365448, 0.21636363636363637, 0.2178835110746509, 0.22164405426975253, 0.22493083807973907]","[1234,1435,4861,8964,1869,9781,3657,6278,2057,8524]",1897,1
IS,100,5,10,"[0.6249272801639582, 0.6151600141292101, 0.6100982608521771, 0.6256434513585917, 0.6147738732215279, 0.6133520753210212, 0.609777374301478, 0.6262469918073466, 0.617824136572949, 0.6143354643368959]","[9.32150650024414, 9.26952338218689, 9.340420484542847, 9.272165298461914, 9.324106454849243, 9.347748517990112, 9.301266431808472, 9.3194260597229, 9.292822360992432, 9.313476085662842]","[0.21930120481927645, 0.22302911093627031, 0.22170771756978622, 0.2242126298960828, 0.21988571428571388, 0.21802179379714967, 0.21925324675324648, 0.2156275635767023, 0.22288108539505172, 0.2238649308380794]",,9486,5.00052714812862
IS,100,5,10,"[0.6249272801639582, 0.6151600141292101, 0.6100982608521771, 0.6256434513585917, 0.6147738732215279, 0.6133520753210212, 0.609777374301478, 0.6262469918073466, 0.617824136572949, 0.6143354643368959]","[9.335577726364136, 9.311767339706421, 9.360899448394775, 9.32881760597229, 9.351071119308472, 9.386141777038574, 9.347378253936768, 9.36707615852356, 9.346236228942871, 9.355636835098267]","[0.222008032128514, 0.22153422501966905, 0.219178981937602, 0.22381294964028764, 0.21784489795918321, 0.22010058675607677, 0.21939123376623365, 0.21868744872846552, 0.2225379090183557, 0.2242392188771357]",,37940,20
IS,100,5,10,"[0.6249272801639582, 0.6151600141292101, 0.6100982608521771, 0.6256434513585917, 0.6147738732215279, 0.6133520753210212, 0.609777374301478, 0.6262469918073466, 0.617824136572949, 0.6143354643368959]","[9.323344707489014, 9.283767461776733, 9.340474367141724, 9.29497504234314, 9.345547676086426, 9.358412027359009, 9.336162567138672, 9.34810471534729, 9.320867538452148, 9.338496446609497]","[0.22181526104417626, 0.22166011014948825, 0.21940065681444942, 0.22254196642685817, 0.21851428571428538, 0.2178457669740149, 0.2163961038961037, 0.21645611156685768, 0.22126895450917794, 0.22201790073230257]",,113820,60
IS,100,5,10,"[0.6249272801639582, 0.6151600141292101, 0.6100982608521771, 0.6256434513585917, 0.6147738732215279, 0.6133520753210212, 0.609777374301478, 0.6262469918073466, 0.617824136572949, 0.6143354643368959]","[9.336405515670776, 9.331003665924072, 9.357420921325684, 9.301270484924316, 9.348511457443237, 9.382477283477783, 9.355518341064453, 9.368934154510498, 9.34767746925354, 9.37408995628357]","[0.2216706827309231, 0.22251770259638085, 0.22060755336617371, 0.22314148681055132, 0.21831020408163257, 0.21875104777870893, 0.21986201298701238, 0.2167022149302705, 0.22164405426975275, 0.2222294548413344]",,189700,100
RS,100,5,10,"[0.24876575315063207, 0.24802760552110625, 0.24526210484193775, 0.2500080000000023, 0.24921568627451252, 0.24567800000000042, 0.24695200000000128, 0.24960992198439888, 0.24850740296118556, 0.2504001600640278]","[5.417107105255127, 5.418644428253174, 5.4107160568237305, 5.3932600021362305, 5.4222941398620605, 5.4281325340271, 5.420286655426025, 5.411596059799194, 5.419360876083374, 5.410020589828491]",,,1897,1
RS,100,5,10,"[0.24943188637727784, 0.24738347669534103, 0.246158463385356, 0.24958400000000275, 0.2495018007202907, 0.24464800000000209, 0.24745800000000187, 0.24893178635727342, 0.2491156462585062, 0.24973789515806483]","[5.46636176109314, 5.475117206573486, 5.4558775424957275, 5.448284864425659, 5.471978425979614, 5.45067024230957, 5.47658371925354, 5.50008487701416, 5.495949983596802, 5.507604360580444]",,,9486,5.00052714812862
RS,100,5,10,"[0.2498939787957613, 0.24795559111822588, 0.2456882753101262, 0.25111400000000234, 0.2500560224089671, 0.24584400000000173, 0.24658800000000142, 0.24958991798359828, 0.2482152861144472, 0.24954581832733239]","[5.511715412139893, 5.479487657546997, 5.502477169036865, 5.518648386001587, 5.4933812618255615, 5.504057168960571, 5.505550146102905, 5.513150930404663, 5.5192084312438965, 5.53152322769165]",,,37940,20
RS,100,5,10,"[0.24954990998199914, 0.24760152030406257, 0.24567226890756413, 0.24965400000000199, 0.2481472589035643, 0.24481200000000208, 0.24647200000000222, 0.24910982196439518, 0.24873949579832125, 0.24914565826330715]","[5.476492881774902, 5.455702781677246, 5.4702489376068115, 5.464142799377441, 5.471729278564453, 5.453933238983154, 5.447199821472168, 5.489835977554321, 5.479058742523193, 5.47252082824707]",,,113820,60
RS,100,5,10,"[0.24845569113822977, 0.24838967793558944, 0.24581832733093367, 0.24986000000000227, 0.24925170068027433, 0.24470200000000136, 0.24666000000000154, 0.2492078415683163, 0.24758503401360746, 0.24976790716286654]","[5.513719081878662, 5.493945360183716, 5.495826721191406, 5.482987642288208, 5.495107889175415, 5.48559045791626, 5.482630729675293, 5.46169638633728, 5.473611831665039, 5.4945068359375]",,,189700,100
RR,100,5,10,"[0.24915525679393388, 0.2462641439178928, 0.2452575485639792, 0.2505950891089113, 0.24992476198400215, 0.24509588118811898, 0.2470503564356437, 0.24994190917391373, 0.24827267540679698, 0.24926651848858317]","[4.793146848678589, 4.79220986366272, 4.806543827056885, 4.7765960693359375, 4.788161516189575, 4.793379068374634, 4.804922580718994, 4.797051191329956, 4.794773101806641, 4.80164647102356]",,,1897,1
RR,100,5,10,"[0.24791336485118903, 0.2449602989904931, 0.24382715462422702, 0.24662219801980237, 0.2466871302976649, 0.24229112871287292, 0.2448538811881195, 0.24542565938930386, 0.24539948652728472, 0.24626884417133263]","[4.812733173370361, 4.80391788482666, 4.804701566696167, 4.796651840209961, 4.822836637496948, 4.792585134506226, 4.811938047409058, 4.81855845451355, 4.797380208969116, 4.806869029998779]",,,9486,5.00052714812862
RR,100,5,10,"[0.2491136841229629, 0.245443643184082, 0.24289745601210694, 0.24997871287128645, 0.24807576495944939, 0.24383847524752464, 0.24610778217821713, 0.24794350949397717, 0.2485339284228535, 0.24833329371352558]","[4.764359474182129, 4.781811714172363, 4.781366586685181, 4.797195672988892, 4.7891011238098145, 4.747627019882202, 4.763509511947632, 4.765756368637085, 4.753382444381714, 4.749688148498535]",,,37940,20
RR,100,5,10,"[0.2500836801023573, 0.248297184189313, 0.24553781908803174, 0.2503881188118811, 0.2502030515176367, 0.24519405940594016, 0.2482455445544554, 0.2505590226956281, 0.24801009512716002, 0.25000099049520735]","[4.7294299602508545, 4.710033655166626, 4.71919059753418, 4.699052810668945, 4.720707178115845, 4.715914964675903, 4.706972122192383, 4.711573839187622, 4.699706792831421, 4.714202880859375]",,,113820,60
RR,100,5,10,"[0.24895078025506048, 0.2460214815240279, 0.24513369704317417, 0.2511801980198023, 0.24934924464835467, 0.2455128712871292, 0.24700396039603947, 0.2492221216520536, 0.2486261831465258, 0.24877871940855517]","[4.7201128005981445, 4.708647012710571, 4.701236009597778, 4.703639984130859, 4.717710733413696, 4.715981483459473, 4.713815689086914, 4.719127655029297, 4.714996814727783, 4.721056222915649]",,,189700,100
LR,100,5,10,"[0.24990398079615805, 0.24501700340068158, 0.24838935574229457, 0.24457200000000592, 0.2394957983193318, 0.2450779999999978, 0.25421799999999667, 0.244772954590923, 0.2411904761904637, 0.2449419767907153]","[17.295976400375366, 17.335246086120605, 17.42377996444702, 17.360182762145996, 17.539528608322144, 17.407694816589355, 17.261085033416748, 17.295186519622803, 17.257614374160767, 17.342928647994995]",,,1897,1
LR,100,5,10,"[0.25319663932785896, 0.2457831566313251, 0.2530832332933184, 0.2484060000000105, 0.2404881952781145, 0.24612999999999552, 0.25279000000000634, 0.24747149429886275, 0.2380472188875583, 0.24005602240896945]","[17.987892389297485, 18.283429622650146, 17.985053539276123, 17.969256162643433, 18.070534706115723, 18.018380165100098, 18.018856525421143, 17.99524736404419, 18.007660388946533, 18.05397391319275]",,,9486,5.00052714812862
LR,100,5,10,"[0.25975795159031617, 0.2430746149229748, 0.2544237695078167, 0.2508280000000088, 0.23986194477790138, 0.25943000000000327, 0.26078600000000446, 0.24775955191038485, 0.24005802320927433, 0.2513765506202536]","[25.414123058319092, 25.342234134674072, 25.306471824645996, 25.35243558883667, 25.4308979511261, 25.63802719116211, 25.278324365615845, 25.652228832244873, 25.28372573852539, 25.15487766265869]",,,37940,20
LR,100,5,10,"[0.2626705341068193, 0.24282456491296933, 0.25449379751901924, 0.2524540000000068, 0.2407623049219592, 0.2619000000000018, 0.2636920000000045, 0.24799759951990666, 0.240106042416964, 0.25155262104842463]","[35.081568241119385, 35.391159534454346, 35.165756702423096, 35.35244846343994, 35.381343841552734, 35.1938533782959, 35.211118936538696, 35.222864627838135, 35.221484661102295, 35.275057554244995]",,,113820,60
LR,100,5,10,"[0.2626705341068193, 0.2437507501500169, 0.2539715886354499, 0.2532340000000064, 0.2413005202080644, 0.2642520000000009, 0.26465199999999545, 0.24799759951990666, 0.240106042416964, 0.2516946778711536]","[44.73635244369507, 44.978386878967285, 45.22264361381531, 45.34431505203247, 45.42220687866211, 45.445624351501465, 45.51179647445679, 45.515408515930176, 45.477630615234375, 45.45061254501343]",,,189700,100
